commit	val_bpb	memory_gb	status	description	wall_seconds
a4a70b6	1.424111	11.8	discard	HEAD_DIM=48 (was 128) [random perturbation]	385.5
6c8d7f3	1.291191	11.4	discard	EMBEDDING_LR=1.5 (was 0.6) [random perturbation]	371.2
aa70dbd	1.242391	11.4	keep	SCALAR_LR=0.4 (was 0.5) [random perturbation]	371.2
9785690	1.188727	11.4	keep	TOTAL_BATCH_SIZE=2**17 (was 2**19) [random perturbation]	351.6
a1a2e6b	1.211778	12.8	discard	HEAD_DIM=96 (was 128) [random perturbation]	362.6
baaafbc	1.171096	3.6	keep	DEPTH=4 (was 8) [random perturbation]	325.6
48f7dc8	1.154699	5.0	keep	ASPECT_RATIO=96 (was 64) [random perturbation]	329.9
ea95165	1.157078	5.0	discard	EMBEDDING_LR=0.2 (was 0.6) [random perturbation]	329.0
c31f77d	1.153562	5.0	keep	SCALAR_LR=0.4 (was 0.4) [random perturbation]	329.2
e2135f9	1.250442	2.3	discard	ASPECT_RATIO=32 (was 96) [random perturbation]	322.0
520f51f	1.239390	16.9	discard	DEPTH=8 (was 4) [random perturbation]	380.3
58de153	1.197125	5.0	discard	TOTAL_BATCH_SIZE=2**19 (was 2**17) [random perturbation]	336.4
2c30360	1.153699	5.0	discard	SCALAR_LR=0.7 (was 0.4) [random perturbation]	329.0
2e47780	1.156579	5.0	discard	WEIGHT_DECAY=0.33 (was 0.2) [random perturbation]	329.6
6c852c7	1.152377	5.0	keep	EMBEDDING_LR=1.5 (was 0.6) [random perturbation]	329.2
9adc394	1.162807	5.0	discard	MATRIX_LR=0.09 (was 0.04) [random perturbation]	329.3
36ba3ee	1.156033	5.0	discard	WARMUP_RATIO=0.08 (was 0.0) [random perturbation]	329.5
b080a58	1.155746	5.0	discard	SCALAR_LR=1.4 (was 0.4) [random perturbation]	329.5
a469b64	1.155885	5.0	discard	WARMUP_RATIO=0.03 (was 0.0) [random perturbation]	329.7
54dac5f	1.156209	5.0	discard	WARMDOWN_RATIO=0.3 (was 0.5) [random perturbation]	329.4
32ddd64	1.152584	5.0	discard	ADAM_BETAS=(0.79, 0.926) (was (0.8, 0.95)) [random perturbation]	330.0
8665bba	1.152380	5.0	discard	EMBEDDING_LR=1.5 (was 1.5) [random perturbation]	329.5
e197d55	1.195492	10.9	discard	DEPTH=6 (was 4) [random perturbation]	355.5
8110257	1.156430	5.0	discard	WARMDOWN_RATIO=0.3 (was 0.5) [random perturbation]	329.8
9ccf9b8	1.157851	5.0	discard	WEIGHT_DECAY=0.33 (was 0.2) [random perturbation]	329.3
70ae113	1.169485	3.6	discard	ASPECT_RATIO=64 (was 96) [random perturbation]	324.9
8219f8b	1.170625	3.6	discard	ASPECT_RATIO=48 (was 96) [random perturbation]	324.9
8364533	1.207016	5.0	discard	TOTAL_BATCH_SIZE=2**18 (was 2**17) [random perturbation]	331.5
4c0d99f	1.154050	5.0	discard	EMBEDDING_LR=1.4 (was 1.5) [random perturbation]	329.3
cdbfce4	1.152082	5.0	keep	WINDOW_PATTERN="LLLL" (was "SSSL") [random perturbation]	329.8
9b0f7b1	1.155005	5.0	discard	UNEMBEDDING_LR=0.0173 (was 0.004) [random perturbation]	329.5
f1893c7	1.153242	5.0	discard	ADAM_BETAS=(0.73, 0.928) (was (0.8, 0.95)) [random perturbation]	329.5
2d568a4	1.157860	5.0	discard	HEAD_DIM=64 (was 128) [random perturbation]	340.7
355783c	1.153568	5.0	discard	MATRIX_LR=0.05 (was 0.04) [random perturbation]	329.7
39ae5fa	1.157858	5.0	discard	SCALAR_LR=1.0 (was 0.4) [random perturbation]	329.6
7fce04b	1.205796	5.0	discard	TOTAL_BATCH_SIZE=2**18 (was 2**17) [random perturbation]	331.9
cd16a1b	1.170516	3.6	discard	ASPECT_RATIO=48 (was 96) [random perturbation]	324.7
744e99d	1.241046	16.9	discard	DEPTH=8 (was 4) [random perturbation]	379.0
4349177	1.155920	5.0	discard	MATRIX_LR=0.06 (was 0.04) [random perturbation]	329.1
f8358e4	1.160047	5.0	discard	WEIGHT_DECAY=0.40 (was 0.2) [random perturbation]	329.1
6308ab9	1.157689	5.0	discard	HEAD_DIM=96 (was 128) [random perturbation]	338.2
1c6901d	1.242042	16.9	discard	DEPTH=8 (was 4) [random perturbation]	379.2
88669d6	1.156835	5.0	discard	HEAD_DIM=64 (was 128) [random perturbation]	329.9
f0f0fa4	1.158495	5.0	discard	ADAM_BETAS=(0.89, 0.906) (was (0.8, 0.95)) [random perturbation]	329.3
ec83211	1.153249	5.0	discard	ADAM_BETAS=(0.71, 0.931) (was (0.8, 0.95)) [random perturbation]	329.9
